Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Customer_Status_Predicted
13823-TEL,Female,31,Yes,Telangana,1,28,Deal 5,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.5,46.400001525878906,0.0,0,0.0,46.400001525878906,Joined,Others,Others,1
13946-HAR,Female,41,Yes,Haryana,1,3,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.649999618530273,19.649999618530273,0.0,0,23.670000076293945,43.31999969482422,Joined,Others,Others,1
14567-TAM,Male,43,No,Tamil Nadu,1,9,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.350000381469727,20.350000381469727,0.0,0,44.09000015258789,64.44000244140625,Joined,Others,Others,1
15349-UTT,Male,47,Yes,Uttar Pradesh,9,12,Deal 5,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.150001525878906,50.150001525878906,0.0,0,39.869998931884766,90.0199966430664,Joined,Others,Others,1
15591-KAR,Female,26,No,Karnataka,3,31,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.399999618530273,20.399999618530273,0.0,0,45.90999984741211,66.30999755859375,Joined,Others,Others,1
15803-UTT,Female,34,No,Uttar Pradesh,6,31,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.149999618530273,19.149999618530273,0.0,0,22.3700008392334,41.52000045776367,Joined,Others,Others,1
16032-AND,Female,47,No,Andhra Pradesh,8,18,,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,46.599998474121094,87.9000015258789,0.0,0,3.740000009536743,91.63999938964844,Joined,Others,Others,1
16068-BIH,Female,44,Yes,Bihar,4,25,Deal 5,No,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.25,25.25,0.0,10,0.0,35.25,Joined,Others,Others,1
16244-UTT,Female,19,Yes,Uttar Pradesh,5,7,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.549999237060547,19.549999237060547,0.0,0,5.099999904632568,24.649999618530273,Joined,Others,Others,1
16733-ODI,Female,76,Yes,Odisha,10,1,,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.849998474121094,45.849998474121094,0.0,0,40.380001068115234,86.2300033569336,Joined,Others,Others,1
16764-WES,Male,40,No,West Bengal,15,13,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.799999237060547,20.799999237060547,0.0,0,48.13999938964844,68.94000244140625,Joined,Others,Others,1
16931-BIH,Female,39,Yes,Bihar,8,23,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.299999237060547,19.299999237060547,0.0,0,8.65999984741211,27.959999084472656,Joined,Others,Others,1
17154-HAR,Male,32,No,Haryana,13,4,,Yes,No,No,,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,18.799999237060547,18.799999237060547,0.0,0,43.56999969482422,62.369998931884766,Joined,Others,Others,1
17250-HAR,Female,23,Yes,Haryana,12,2,,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,49.25,97.0,0.0,0,81.5,178.5,Joined,Others,Others,1
17597-HAR,Female,33,Yes,Haryana,2,6,Deal 5,No,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,29.850000381469727,29.850000381469727,0.0,0,0.0,29.850000381469727,Joined,Others,Others,1
17796-BIH,Female,65,No,Bihar,5,1,,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,48.45000076293945,48.45000076293945,0.0,0,16.420000076293945,64.87000274658203,Joined,Others,Others,1
18015-ODI,Female,28,Yes,Odisha,15,9,,Yes,No,Yes,DSL,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.900001525878906,49.900001525878906,0.0,0,14.930000305175781,64.83000183105469,Joined,Others,Others,1
18027-UTT,Female,58,Yes,Uttar Pradesh,15,30,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.899999618530273,33.70000076293945,0.0,0,7.639999866485596,41.34000015258789,Joined,Others,Others,1
18415-KAR,Female,33,Yes,Karnataka,7,36,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.100000381469727,19.100000381469727,0.0,0,5.019999980926514,24.1200008392334,Joined,Others,Others,1
18829-TAM,Female,49,Yes,Tamil Nadu,4,31,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,18.799999237060547,56.0,0.0,0,19.829999923706055,75.83000183105469,Joined,Others,Others,1
19041-AND,Female,36,No,Andhra Pradesh,6,21,Deal 5,No,No,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,35.099998474121094,101.0999984741211,0.0,0,0.0,101.0999984741211,Joined,Others,Others,1
19539-PUN,Female,37,Yes,Punjab,14,8,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.400001525878906,45.400001525878906,0.0,0,49.33000183105469,94.7300033569336,Joined,Others,Others,1
19541-ODI,Female,37,Yes,Odisha,15,14,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.25,74.19999694824219,0.0,0,79.0,153.1999969482422,Joined,Others,Others,1
19747-WES,Female,47,No,West Bengal,15,19,Deal 5,Yes,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,64.5,177.39999389648438,0.0,60,118.6500015258789,356.04998779296875,Joined,Others,Others,1
19811-MAH,Female,35,Yes,Maharashtra,10,7,Deal 5,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.8499984741211,248.39999389648438,0.0,0,99.9000015258789,348.29998779296875,Joined,Others,Others,1
19837-TAM,Female,57,Yes,Tamil Nadu,4,6,,No,No,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,51.400001525878906,96.80000305175781,0.0,0,0.0,96.80000305175781,Joined,Others,Others,1
19898-HAR,Male,31,Yes,Haryana,3,30,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.450000762939453,19.450000762939453,0.0,0,29.149999618530273,48.599998474121094,Joined,Others,Others,1
19998-AND,Female,18,No,Andhra Pradesh,0,2,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,85.69999694824219,256.75,0.0,0,89.5199966430664,346.2699890136719,Joined,Others,Others,1
21065-HAR,Male,27,No,Haryana,5,10,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.299999237060547,20.299999237060547,0.0,0,10.84000015258789,31.139999389648438,Joined,Others,Others,1
21165-DEL,Female,38,No,Delhi,2,32,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.950000762939453,38.150001525878906,0.0,0,69.13999938964844,107.29000091552734,Joined,Others,Others,1
21247-ASS,Male,58,Yes,Assam,2,2,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.5,19.5,0.0,0,8.020000457763672,27.520000457763672,Joined,Others,Others,1
21288-MAH,Female,63,No,Maharashtra,12,34,,Yes,Yes,Yes,DSL,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,60.25,170.5,0.0,70,60.29999923706055,300.79998779296875,Joined,Others,Others,1
21642-TEL,Male,60,Yes,Telangana,12,29,,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,54.5,54.5,0.0,0,33.209999084472656,87.70999908447266,Joined,Others,Others,1
21956-JHA,Female,59,Yes,Jharkhand,10,8,,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,82.30000305175781,214.39999389648438,0.0,20,134.91000366210938,369.30999755859375,Joined,Others,Others,1
22119-WES,Male,31,Yes,West Bengal,5,5,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.049999237060547,33.70000076293945,0.0,0,3.619999885559082,37.31999969482422,Joined,Others,Others,1
22137-KAR,Female,51,No,Karnataka,4,28,,Yes,No,No,,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.850000381469727,19.850000381469727,0.0,0,47.459999084472656,67.30999755859375,Joined,Others,Others,1
22765-MAH,Female,40,Yes,Maharashtra,6,16,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.450000762939453,19.450000762939453,0.0,0,16.440000534057617,35.88999938964844,Joined,Others,Others,1
22782-ODI,Female,50,Yes,Odisha,2,28,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.299999237060547,54.70000076293945,0.0,0,30.389999389648438,85.08999633789062,Joined,Others,Others,1
23078-UTT,Female,57,Yes,Uttar Pradesh,3,24,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.299999237060547,20.299999237060547,0.0,0,6.639999866485596,26.940000534057617,Joined,Others,Others,1
23148-CHH,Female,74,Yes,Chhattisgarh,4,9,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,44.0,44.0,0.0,0,28.670000076293945,72.66999816894531,Joined,Others,Others,1
23256-HAR,Female,32,Yes,Haryana,10,31,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.850000381469727,52.0,0.0,0,72.0999984741211,124.0999984741211,Joined,Others,Others,1
23605-MAH,Female,31,Yes,Maharashtra,1,19,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.75,20.75,0.0,0,7.570000171661377,28.31999969482422,Joined,Others,Others,1
23632-HAR,Female,37,Yes,Haryana,2,16,Deal 5,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,97.0999984741211,184.14999389648438,0.0,0,78.69999694824219,262.8500061035156,Joined,Others,Others,1
23683-TEL,Male,26,No,Telangana,10,16,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.25,20.25,0.0,0,42.959999084472656,63.209999084472656,Joined,Others,Others,1
23729-UTT,Female,58,No,Uttar Pradesh,14,19,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.649999618530273,38.79999923706055,0.0,0,19.219999313354492,58.02000045776367,Joined,Others,Others,1
23855-MAH,Female,53,Yes,Maharashtra,13,9,,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.900001525878906,111.05000305175781,0.0,0,10.15999984741211,121.20999908447266,Joined,Others,Others,1
24696-BIH,Female,69,Yes,Bihar,0,20,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,43.95000076293945,85.0999984741211,0.0,0,38.18000030517578,123.27999877929688,Joined,Others,Others,1
24754-AND,Female,63,Yes,Andhra Pradesh,0,28,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55000305175781,200.1999969482422,33.79999923706055,0,5.010000228881836,171.41000366210938,Joined,Others,Others,1
24990-WES,Female,36,No,West Bengal,8,24,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.6500015258789,135.75,0.0,0,58.060001373291016,193.80999755859375,Joined,Others,Others,1
25048-TEL,Male,47,No,Telangana,15,9,Deal 5,Yes,Yes,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,24.0,24.0,0.0,0,32.95000076293945,56.95000076293945,Joined,Others,Others,1
25517-RAJ,Female,40,No,Rajasthan,4,10,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,91.44999694824219,171.4499969482422,0.0,10,98.81999969482422,280.2699890136719,Joined,Others,Others,1
25763-JHA,Female,47,Yes,Jharkhand,9,3,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.150001525878906,44.150001525878906,0.0,0,9.819999694824219,53.970001220703125,Joined,Others,Others,1
26412-ASS,Female,30,No,Assam,7,18,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.700000762939453,39.849998474121094,0.0,0,27.780000686645508,67.62999725341797,Joined,Others,Others,1
26448-BIH,Female,57,No,Bihar,10,21,Deal 5,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,75.30000305175781,244.10000610351562,0.0,0,116.97000122070312,361.07000732421875,Joined,Others,Others,1
26500-GUJ,Female,62,Yes,Gujarat,3,19,Deal 5,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,62.150001525878906,113.0999984741211,0.0,0,96.77999877929688,209.8800048828125,Joined,Others,Others,1
26567-UTT,Female,67,Yes,Uttar Pradesh,1,35,,Yes,No,No,,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.350000381469727,20.350000381469727,0.0,0,30.09000015258789,50.439998626708984,Joined,Others,Others,1
26902-TEL,Male,52,Yes,Telangana,7,2,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.8499984741211,95.8499984741211,0.0,0,2.700000047683716,98.55000305175781,Joined,Others,Others,1
27461-MAD,Male,22,Yes,Madhya Pradesh,7,6,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.54999923706055,44.54999923706055,0.0,0,23.040000915527344,67.58999633789062,Joined,Others,Others,1
27465-JAM,Female,50,No,Jammu & Kashmir,10,30,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.850000381469727,19.850000381469727,0.0,0,16.469999313354492,36.31999969482422,Joined,Others,Others,1
27553-UTT,Female,53,Yes,Uttar Pradesh,0,18,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.299999237060547,20.299999237060547,0.0,0,4.090000152587891,24.389999389648438,Joined,Others,Others,1
27561-UTT,Female,19,No,Uttar Pradesh,6,10,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.25,20.25,0.0,0,47.25,67.5,Joined,Others,Others,1
27856-UTT,Female,33,Yes,Uttar Pradesh,1,32,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.25,19.25,0.0,0,9.4399995803833,28.690000534057617,Joined,Others,Others,1
28237-JHA,Female,52,No,Jharkhand,7,9,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.8499984741211,199.85000610351562,0.0,0,104.27999877929688,304.1300048828125,Joined,Others,Others,1
28239-UTT,Female,55,Yes,Uttar Pradesh,0,5,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.950000762939453,19.950000762939453,0.0,0,38.84000015258789,58.790000915527344,Joined,Others,Others,1
28266-JAM,Male,32,No,Jammu & Kashmir,6,1,,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,25.350000381469727,25.350000381469727,0.0,0,0.0,25.350000381469727,Joined,Others,Others,1
28281-KAR,Male,56,Yes,Karnataka,8,32,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.3499984741211,253.8000030517578,0.0,0,148.88999938964844,402.69000244140625,Joined,Others,Others,1
28378-MAD,Female,65,No,Madhya Pradesh,12,1,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.450000762939453,19.450000762939453,0.0,0,46.59000015258789,66.04000091552734,Joined,Others,Others,1
28398-TEL,Male,59,Yes,Telangana,3,23,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.0,20.0,0.0,0,25.989999771118164,45.9900016784668,Joined,Others,Others,1
28681-HAR,Female,33,No,Haryana,4,2,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.55000305175781,75.55000305175781,0.0,0,7.110000133514404,82.66000366210938,Joined,Others,Others,1
28782-PUN,Male,58,Yes,Punjab,8,7,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,44.95000076293945,44.95000076293945,0.0,0,13.630000114440918,58.58000183105469,Joined,Others,Others,1
28873-TAM,Male,55,No,Tamil Nadu,7,4,,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.94999694824219,151.75,0.0,0,7.519999980926514,159.27000427246094,Joined,Others,Others,1
29093-ASS,Male,57,Yes,Assam,6,6,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.450000762939453,20.450000762939453,0.0,0,11.609999656677246,32.060001373291016,Joined,Others,Others,1
29371-WES,Female,23,No,West Bengal,14,9,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.29999923706055,108.6500015258789,0.0,0,87.86000061035156,196.50999450683594,Joined,Others,Others,1
29525-TAM,Female,50,Yes,Tamil Nadu,9,3,Deal 5,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,25.0,78.25,0.0,0,0.0,78.25,Joined,Others,Others,1
29626-WES,Male,67,No,West Bengal,10,22,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,50.150001525878906,50.150001525878906,0.0,50,38.33000183105469,138.47999572753906,Joined,Others,Others,1
31129-AND,Male,68,No,Andhra Pradesh,15,15,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.3499984741211,70.3499984741211,0.0,10,14.420000076293945,94.7699966430664,Joined,Others,Others,1
31294-KAR,Male,50,Yes,Karnataka,15,33,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.75,49.75,0.0,0,41.790000915527344,91.54000091552734,Joined,Others,Others,1
31412-HAR,Female,81,Yes,Haryana,14,29,,Yes,No,No,,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.200000762939453,37.20000076293945,0.0,0,14.0600004196167,51.2599983215332,Joined,Others,Others,1
31476-TEL,Male,42,Yes,Telangana,5,33,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.950000762939453,19.950000762939453,0.0,0,27.079999923706055,47.029998779296875,Joined,Others,Others,1
31601-DEL,Female,31,Yes,Delhi,2,10,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.649999618530273,19.649999618530273,0.0,0,42.41999816894531,62.06999969482422,Joined,Others,Others,1
31918-KAR,Female,37,No,Karnataka,15,34,,No,No,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,41.349998474121094,107.25,0.0,0,0.0,107.25,Joined,Others,Others,1
32063-UTT,Female,63,Yes,Uttar Pradesh,6,31,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.0,19.0,0.0,0,28.280000686645508,47.279998779296875,Joined,Others,Others,1
32375-UTT,Female,23,Yes,Uttar Pradesh,1,3,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.899999618530273,20.899999618530273,0.0,0,10.210000038146973,31.110000610351562,Joined,Others,Others,1
32563-KAR,Female,34,Yes,Karnataka,3,22,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.80000305175781,146.64999389648438,0.0,10,22.3799991607666,179.02999877929688,Joined,Others,Others,1
32586-UTT,Female,25,No,Uttar Pradesh,15,10,,Yes,Yes,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,-8.0,25.75,0.0,0,15.220000267028809,40.970001220703125,Joined,Others,Others,1
32587-UTT,Female,30,No,Uttar Pradesh,1,27,,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.45000076293945,141.6999969482422,0.0,0,61.11000061035156,202.80999755859375,Joined,Others,Others,1
32966-HAR,Female,23,No,Haryana,3,7,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.200000762939453,19.200000762939453,0.0,0,26.3700008392334,45.56999969482422,Joined,Others,Others,1
33621-MAD,Female,42,No,Madhya Pradesh,13,12,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.3499984741211,120.25,0.0,20,15.399999618530273,155.64999389648438,Joined,Others,Others,1
33773-UTT,Male,58,Yes,Uttar Pradesh,3,6,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.600000381469727,20.600000381469727,0.0,0,1.4800000190734863,22.079999923706055,Joined,Others,Others,1
33776-BIH,Male,32,Yes,Bihar,6,10,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.200000762939453,19.200000762939453,0.0,0,35.880001068115234,55.08000183105469,Joined,Others,Others,1
34024-AND,Female,45,Yes,Andhra Pradesh,4,21,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.049999237060547,20.049999237060547,0.0,0,7.659999847412109,27.709999084472656,Joined,Others,Others,1
34101-TAM,Female,41,No,Tamil Nadu,5,35,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.200000762939453,50.599998474121094,0.0,0,55.290000915527344,105.88999938964844,Joined,Others,Others,1
34110-MAH,Female,20,Yes,Maharashtra,6,3,,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.099998474121094,50.099998474121094,0.0,0,29.1299991607666,79.2300033569336,Joined,Others,Others,1
34169-RAJ,Male,51,Yes,Rajasthan,14,30,Deal 5,Yes,Yes,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,24.850000381469727,62.0,0.0,0,80.5,142.5,Joined,Others,Others,1
34319-UTT,Male,40,Yes,Uttar Pradesh,12,25,Deal 5,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.150001525878906,50.150001525878906,0.0,0,20.299999237060547,70.44999694824219,Joined,Others,Others,1
